repo_name,owner,url,stars,pull_counts,pull_comment_counts,pull_commit_counts,pull_commit_comment_counts,pull_commit_code_comment_counts
PhotoView,chrisbanes,https://api.github.com/repos/chrisbanes/PhotoView,16666,131,0,0,0,7
AndroidSlidingUpPanel,umano,https://api.github.com/repos/umano/AndroidSlidingUpPanel,8925,127,0,0,0,16
android-gif-drawable,koral--,https://api.github.com/repos/koral--/android-gif-drawable,8213,123,0,0,0,1
ARouter,alibaba,https://api.github.com/repos/alibaba/ARouter,11782,115,0,0,0,4
interview,mission-peace,https://api.github.com/repos/mission-peace/interview,8279,113,0,0,0,11
VasSonic,Tencent,https://api.github.com/repos/Tencent/VasSonic,10768,113,0,0,0,3
litemall,linlinjava,https://api.github.com/repos/linlinjava/litemall,12535,113,0,0,0,2
tinker,Tencent,https://api.github.com/repos/Tencent/tinker,14960,112,0,0,0,8
webmagic,code4craft,https://api.github.com/repos/code4craft/webmagic,8917,108,0,0,0,0
BottomBar,roughike,https://api.github.com/repos/roughike/BottomBar,8370,108,0,0,0,15
easypermissions,googlesamples,https://api.github.com/repos/googlesamples/easypermissions,8370,106,0,0,0,179
platform_frameworks_base,aosp-mirror,https://api.github.com/repos/aosp-mirror/platform_frameworks_base,9104,105,0,0,0,0
Matisse,zhihu,https://api.github.com/repos/zhihu/Matisse,11039,103,0,0,0,97
easyexcel,alibaba,https://api.github.com/repos/alibaba/easyexcel,14240,101,0,0,0,8
material-theme-jetbrains,ChrisRM,https://api.github.com/repos/ChrisRM/material-theme-jetbrains,7572,98,0,0,0,28
JCSprout,crossoverJie,https://api.github.com/repos/crossoverJie/JCSprout,24507,97,0,0,0,17
Calligraphy,chrisjenx,https://api.github.com/repos/chrisjenx/Calligraphy,8519,87,0,0,0,48
SlidingMenu,jfeinstein10,https://api.github.com/repos/jfeinstein10/SlidingMenu,11202,86,0,0,0,1
elasticsearch-analysis-ik,medcl,https://api.github.com/repos/medcl/elasticsearch-analysis-ik,9457,80,0,0,0,2
greenDAO,greenrobot,https://api.github.com/repos/greenrobot/greenDAO,12034,78,0,0,0,0
zheng,shuzheng,https://api.github.com/repos/shuzheng/zheng,15287,78,0,0,0,3
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,https://api.github.com/repos/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,12671,77,0,0,0,12
clojure,clojure,https://api.github.com/repos/clojure/clojure,8342,77,0,0,0,1
disruptor,LMAX-Exchange,https://api.github.com/repos/LMAX-Exchange/disruptor,12286,76,0,0,0,12
EventBus,greenrobot,https://api.github.com/repos/greenrobot/EventBus,22421,74,0,0,0,1
eladmin,elunez,https://api.github.com/repos/elunez/eladmin,8019,72,0,0,0,0
interviews,kdn251,https://api.github.com/repos/kdn251/interviews,43628,71,0,0,0,64
advanced-java,doocs,https://api.github.com/repos/doocs/advanced-java,42910,70,0,0,0,0
caffeine,ben-manes,https://api.github.com/repos/ben-manes/caffeine,7498,70,0,0,0,75
ViewPagerIndicator,JakeWharton,https://api.github.com/repos/JakeWharton/ViewPagerIndicator,10196,69,0,0,0,2
MVPArms,JessYanCoding,https://api.github.com/repos/JessYanCoding/MVPArms,9453,69,0,0,0,1
JiaoZiVideoPlayer,lipangit,https://api.github.com/repos/lipangit/JiaoZiVideoPlayer,10088,64,0,0,0,3
Android-PullToRefresh,chrisbanes,https://api.github.com/repos/chrisbanes/Android-PullToRefresh,8823,63,0,0,0,0
FileDownloader,lingochamp,https://api.github.com/repos/lingochamp/FileDownloader,9469,58,0,0,0,49
DanmakuFlameMaster,bilibili,https://api.github.com/repos/bilibili/DanmakuFlameMaster,8438,57,0,0,0,34
Android-PickerView,Bigkoo,https://api.github.com/repos/Bigkoo/Android-PickerView,11627,56,0,0,0,0
RxPermissions,tbruyelle,https://api.github.com/repos/tbruyelle/RxPermissions,9564,56,0,0,0,29
LeetCodeAnimation,MisterBooo,https://api.github.com/repos/MisterBooo/LeetCodeAnimation,53121,56,0,0,0,0
bytecode-viewer,Konloch,https://api.github.com/repos/Konloch/bytecode-viewer,11115,54,0,0,0,0
CircleImageView,hdodenhof,https://api.github.com/repos/hdodenhof/CircleImageView,13007,53,0,0,0,9
VirtualXposed,android-hacker,https://api.github.com/repos/android-hacker/VirtualXposed,9640,53,0,0,0,11
atlas,alibaba,https://api.github.com/repos/alibaba/atlas,7612,53,0,0,0,1
recyclerview-animators,wasabeef,https://api.github.com/repos/wasabeef/recyclerview-animators,9958,52,0,0,0,0
mall,macrozheng,https://api.github.com/repos/macrozheng/mall,33735,51,0,0,0,0
logger,orhanobut,https://api.github.com/repos/orhanobut/logger,12164,49,0,0,0,60
jeecg-boot,zhangdaiscott,https://api.github.com/repos/zhangdaiscott/jeecg-boot,11255,47,0,0,0,0
MaterialDesignLibrary,navasmdc,https://api.github.com/repos/navasmdc/MaterialDesignLibrary,9124,43,0,0,0,0
JustAuth,justauth,https://api.github.com/repos/justauth/JustAuth,7818,41,0,0,0,0
Fragmentation,YoKeyword,https://api.github.com/repos/YoKeyword/Fragmentation,9447,40,0,0,0,0
ip2region,lionsoul2014,https://api.github.com/repos/lionsoul2014/ip2region,7693,39,0,0,0,1
AndroidSwipeLayout,daimajia,https://api.github.com/repos/daimajia/AndroidSwipeLayout,11747,38,0,0,0,7
Android-CleanArchitecture,android10,https://api.github.com/repos/android10/Android-CleanArchitecture,14228,36,0,0,0,6
glide-transformations,wasabeef,https://api.github.com/repos/wasabeef/glide-transformations,8655,36,0,0,0,17
java8-tutorial,winterbe,https://api.github.com/repos/winterbe/java8-tutorial,12883,35,0,0,0,1
piggymetrics,sqshq,https://api.github.com/repos/sqshq/piggymetrics,8555,34,0,0,0,10
spring-boot-examples,ityouknow,https://api.github.com/repos/ityouknow/spring-boot-examples,21905,34,0,0,0,0
proxyee-down,proxyee-down-org,https://api.github.com/repos/proxyee-down-org/proxyee-down,25605,33,0,0,0,0
MaterialViewPager,florent37,https://api.github.com/repos/florent37/MaterialViewPager,8144,32,0,0,0,1
jd-gui,java-decompiler,https://api.github.com/repos/java-decompiler/jd-gui,8399,29,0,0,0,2
toBeTopJavaer,hollischuang,https://api.github.com/repos/hollischuang/toBeTopJavaer,13844,29,0,0,0,0
android-Ultra-Pull-To-Refresh,liaohuqiu,https://api.github.com/repos/liaohuqiu/android-Ultra-Pull-To-Refresh,9710,27,0,0,0,0
Luban,Curzibn,https://api.github.com/repos/Curzibn/Luban,11580,26,0,0,0,0
Mybatis-PageHelper,pagehelper,https://api.github.com/repos/pagehelper/Mybatis-PageHelper,9080,26,0,0,0,0
spring-boot-demo,xkcoding,https://api.github.com/repos/xkcoding/spring-boot-demo,12796,25,0,0,0,4
AndroidViewAnimations,daimajia,https://api.github.com/repos/daimajia/AndroidViewAnimations,11279,25,0,0,0,0
QMUI_Android,Tencent,https://api.github.com/repos/Tencent/QMUI_Android,10921,25,0,0,0,0
fullstack-tutorial,frank-lam,https://api.github.com/repos/frank-lam/fullstack-tutorial,8370,24,0,0,0,0
miaosha,qiurunze123,https://api.github.com/repos/qiurunze123/miaosha,15561,23,0,0,0,0
JsBridge,lzyzsd,https://api.github.com/repos/lzyzsd/JsBridge,7695,23,0,0,0,0
VirtualAPK,didi,https://api.github.com/repos/didi/VirtualAPK,7896,23,0,0,0,2
GSYVideoPlayer,CarGuo,https://api.github.com/repos/CarGuo/GSYVideoPlayer,13875,23,0,0,0,0
cheesesquare,chrisbanes,https://api.github.com/repos/chrisbanes/cheesesquare,7775,21,0,0,0,13
Android-ObservableScrollView,ksoichiro,https://api.github.com/repos/ksoichiro/Android-ObservableScrollView,9533,21,0,0,0,0
springboot-learning-example,JeffLi1993,https://api.github.com/repos/JeffLi1993/springboot-learning-example,12751,20,0,0,0,0
banner,youth5201314,https://api.github.com/repos/youth5201314/banner,9694,20,0,0,0,0
Material-Animations,lgvalle,https://api.github.com/repos/lgvalle/Material-Animations,13272,18,0,0,0,0
vlayout,alibaba,https://api.github.com/repos/alibaba/vlayout,10275,18,0,0,0,7
SmartRefreshLayout,scwang90,https://api.github.com/repos/scwang90/SmartRefreshLayout,20558,18,0,0,0,0
AVLoadingIndicatorView,81813780,https://api.github.com/repos/81813780/AVLoadingIndicatorView,9210,16,0,0,0,0
spring-boot-api-project-seed,lihengming,https://api.github.com/repos/lihengming/spring-boot-api-project-seed,7586,15,0,0,0,2
HomeMirror,HannahMitt,https://api.github.com/repos/HannahMitt/HomeMirror,7904,15,0,0,0,0
paascloud-master,paascloud,https://api.github.com/repos/paascloud/paascloud-master,7743,13,0,0,0,0
AndroidNote,GcsSloop,https://api.github.com/repos/GcsSloop/AndroidNote,7755,13,0,0,0,0
okhttp-OkGo,jeasonlzy,https://api.github.com/repos/jeasonlzy/okhttp-OkGo,9947,12,0,0,0,0
PictureSelector,LuckSiege,https://api.github.com/repos/LuckSiege/PictureSelector,8522,11,0,0,0,0
Android_Data,Freelander,https://api.github.com/repos/Freelander/Android_Data,8219,10,0,0,0,0
StatusBarUtil,laobie,https://api.github.com/repos/laobie/StatusBarUtil,8216,8,0,0,0,0
AndroidAutoSize,JessYanCoding,https://api.github.com/repos/JessYanCoding/AndroidAutoSize,9719,6,0,0,0,0
vhr,lenve,https://api.github.com/repos/lenve/vhr,15861,5,0,0,0,0
mit-deep-learning-book-pdf,janishar,https://api.github.com/repos/janishar/mit-deep-learning-book-pdf,7998,5,0,0,0,0
MagicIndicator,hackware1993,https://api.github.com/repos/hackware1993/MagicIndicator,7621,4,0,0,0,1
ImmersionBar,gyf-dev,https://api.github.com/repos/gyf-dev/ImmersionBar,8116,4,0,0,0,0
SpringCloudLearning,forezp,https://api.github.com/repos/forezp/SpringCloudLearning,12625,3,0,0,0,0
FlycoTabLayout,H07000223,https://api.github.com/repos/H07000223/FlycoTabLayout,9713,2,0,0,0,0
SpringBoot-Learning,dyc87112,https://api.github.com/repos/dyc87112/SpringBoot-Learning,11266,2,0,0,0,0
SpringAll,wuyouzhuguli,https://api.github.com/repos/wuyouzhuguli/SpringAll,14286,2,0,0,0,0
SmarterStreaming,daniulive,https://api.github.com/repos/daniulive/SmarterStreaming,8358,1,0,0,0,0
