repo_name,owner,url,stars,pull_counts,
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,https://api.github.com/repos/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,12671,77,
clojure,clojure,https://api.github.com/repos/clojure/clojure,8342,77,
disruptor,LMAX-Exchange,https://api.github.com/repos/LMAX-Exchange/disruptor,12286,76,
EventBus,greenrobot,https://api.github.com/repos/greenrobot/EventBus,22421,74,
eladmin,elunez,https://api.github.com/repos/elunez/eladmin,8019,72,
interviews,kdn251,https://api.github.com/repos/kdn251/interviews,43628,71,
advanced-java,doocs,https://api.github.com/repos/doocs/advanced-java,42910,70,
caffeine,ben-manes,https://api.github.com/repos/ben-manes/caffeine,7498,70,
ViewPagerIndicator,JakeWharton,https://api.github.com/repos/JakeWharton/ViewPagerIndicator,10196,69,
MVPArms,JessYanCoding,https://api.github.com/repos/JessYanCoding/MVPArms,9453,69,
JiaoZiVideoPlayer,lipangit,https://api.github.com/repos/lipangit/JiaoZiVideoPlayer,10088,64,
Android-PullToRefresh,chrisbanes,https://api.github.com/repos/chrisbanes/Android-PullToRefresh,8823,63,
FileDownloader,lingochamp,https://api.github.com/repos/lingochamp/FileDownloader,9469,58,
DanmakuFlameMaster,bilibili,https://api.github.com/repos/bilibili/DanmakuFlameMaster,8438,57,
Android-PickerView,Bigkoo,https://api.github.com/repos/Bigkoo/Android-PickerView,11627,56,
RxPermissions,tbruyelle,https://api.github.com/repos/tbruyelle/RxPermissions,9564,56,
LeetCodeAnimation,MisterBooo,https://api.github.com/repos/MisterBooo/LeetCodeAnimation,53121,56,
bytecode-viewer,Konloch,https://api.github.com/repos/Konloch/bytecode-viewer,11115,54,
CircleImageView,hdodenhof,https://api.github.com/repos/hdodenhof/CircleImageView,13007,53,
VirtualXposed,android-hacker,https://api.github.com/repos/android-hacker/VirtualXposed,9640,53,
atlas,alibaba,https://api.github.com/repos/alibaba/atlas,7612,53,
recyclerview-animators,wasabeef,https://api.github.com/repos/wasabeef/recyclerview-animators,9958,52,
mall,macrozheng,https://api.github.com/repos/macrozheng/mall,33735,51,
logger,orhanobut,https://api.github.com/repos/orhanobut/logger,12164,49,
jeecg-boot,zhangdaiscott,https://api.github.com/repos/zhangdaiscott/jeecg-boot,11255,47,
MaterialDesignLibrary,navasmdc,https://api.github.com/repos/navasmdc/MaterialDesignLibrary,9124,43,
JustAuth,justauth,https://api.github.com/repos/justauth/JustAuth,7818,41,
Fragmentation,YoKeyword,https://api.github.com/repos/YoKeyword/Fragmentation,9447,40,
ip2region,lionsoul2014,https://api.github.com/repos/lionsoul2014/ip2region,7693,39,
AndroidSwipeLayout,daimajia,https://api.github.com/repos/daimajia/AndroidSwipeLayout,11747,38,
Android-CleanArchitecture,android10,https://api.github.com/repos/android10/Android-CleanArchitecture,14228,36,
glide-transformations,wasabeef,https://api.github.com/repos/wasabeef/glide-transformations,8655,36,
java8-tutorial,winterbe,https://api.github.com/repos/winterbe/java8-tutorial,12883,35,
piggymetrics,sqshq,https://api.github.com/repos/sqshq/piggymetrics,8555,34,
spring-boot-examples,ityouknow,https://api.github.com/repos/ityouknow/spring-boot-examples,21905,34,
proxyee-down,proxyee-down-org,https://api.github.com/repos/proxyee-down-org/proxyee-down,25605,33,
MaterialViewPager,florent37,https://api.github.com/repos/florent37/MaterialViewPager,8144,32,
jd-gui,java-decompiler,https://api.github.com/repos/java-decompiler/jd-gui,8399,29,
toBeTopJavaer,hollischuang,https://api.github.com/repos/hollischuang/toBeTopJavaer,13844,29,
android-Ultra-Pull-To-Refresh,liaohuqiu,https://api.github.com/repos/liaohuqiu/android-Ultra-Pull-To-Refresh,9710,27,
Luban,Curzibn,https://api.github.com/repos/Curzibn/Luban,11580,26,
Mybatis-PageHelper,pagehelper,https://api.github.com/repos/pagehelper/Mybatis-PageHelper,9080,26,
spring-boot-demo,xkcoding,https://api.github.com/repos/xkcoding/spring-boot-demo,12796,25,
AndroidViewAnimations,daimajia,https://api.github.com/repos/daimajia/AndroidViewAnimations,11279,25,
QMUI_Android,Tencent,https://api.github.com/repos/Tencent/QMUI_Android,10921,25,
fullstack-tutorial,frank-lam,https://api.github.com/repos/frank-lam/fullstack-tutorial,8370,24,
miaosha,qiurunze123,https://api.github.com/repos/qiurunze123/miaosha,15561,23,
JsBridge,lzyzsd,https://api.github.com/repos/lzyzsd/JsBridge,7695,23,
VirtualAPK,didi,https://api.github.com/repos/didi/VirtualAPK,7896,23,
GSYVideoPlayer,CarGuo,https://api.github.com/repos/CarGuo/GSYVideoPlayer,13875,23,
cheesesquare,chrisbanes,https://api.github.com/repos/chrisbanes/cheesesquare,7775,21,
Android-ObservableScrollView,ksoichiro,https://api.github.com/repos/ksoichiro/Android-ObservableScrollView,9533,21,
springboot-learning-example,JeffLi1993,https://api.github.com/repos/JeffLi1993/springboot-learning-example,12751,20,
banner,youth5201314,https://api.github.com/repos/youth5201314/banner,9694,20,
Material-Animations,lgvalle,https://api.github.com/repos/lgvalle/Material-Animations,13272,18,
vlayout,alibaba,https://api.github.com/repos/alibaba/vlayout,10275,18,
SmartRefreshLayout,scwang90,https://api.github.com/repos/scwang90/SmartRefreshLayout,20558,18,
AVLoadingIndicatorView,81813780,https://api.github.com/repos/81813780/AVLoadingIndicatorView,9210,16,
spring-boot-api-project-seed,lihengming,https://api.github.com/repos/lihengming/spring-boot-api-project-seed,7586,15,
HomeMirror,HannahMitt,https://api.github.com/repos/HannahMitt/HomeMirror,7904,15,
paascloud-master,paascloud,https://api.github.com/repos/paascloud/paascloud-master,7743,13,
AndroidNote,GcsSloop,https://api.github.com/repos/GcsSloop/AndroidNote,7755,13,
okhttp-OkGo,jeasonlzy,https://api.github.com/repos/jeasonlzy/okhttp-OkGo,9947,12,
PictureSelector,LuckSiege,https://api.github.com/repos/LuckSiege/PictureSelector,8522,11,
Android_Data,Freelander,https://api.github.com/repos/Freelander/Android_Data,8219,10,
StatusBarUtil,laobie,https://api.github.com/repos/laobie/StatusBarUtil,8216,8,
AndroidAutoSize,JessYanCoding,https://api.github.com/repos/JessYanCoding/AndroidAutoSize,9719,6,
vhr,lenve,https://api.github.com/repos/lenve/vhr,15861,5,
mit-deep-learning-book-pdf,janishar,https://api.github.com/repos/janishar/mit-deep-learning-book-pdf,7998,5,
MagicIndicator,hackware1993,https://api.github.com/repos/hackware1993/MagicIndicator,7621,4,
ImmersionBar,gyf-dev,https://api.github.com/repos/gyf-dev/ImmersionBar,8116,4,
SpringCloudLearning,forezp,https://api.github.com/repos/forezp/SpringCloudLearning,12625,3,
FlycoTabLayout,H07000223,https://api.github.com/repos/H07000223/FlycoTabLayout,9713,2,
SpringBoot-Learning,dyc87112,https://api.github.com/repos/dyc87112/SpringBoot-Learning,11266,2,
SpringAll,wuyouzhuguli,https://api.github.com/repos/wuyouzhuguli/SpringAll,14286,2,
SmarterStreaming,daniulive,https://api.github.com/repos/daniulive/SmarterStreaming,8358,1,
,,,,194877,
